store_id,dept_id,prior_residual_count,prior_residual_median,prior_residual_mad,prior_robust_scale
WI_1,FOODS_1,168,-14.300155016168702,35.22765573409737,52.228522391372756
WI_1,FOODS_2,168,13.518371491533685,41.2053589013627,61.09106510716034
WI_1,FOODS_3,168,2.349864332053585,107.8399877465398,159.8835658330199
WI_1,HOBBIES_1,168,-6.488511374065951,41.39425992717577,61.37112976803079
WI_1,HOBBIES_2,168,-4.134663515508507,8.693512559869298,12.88900172126222
WI_1,HOUSEHOLD_1,168,-12.713724599904822,45.27486841898042,67.12451991798036
WI_1,HOUSEHOLD_2,168,-2.9713364689985866,14.734345182319544,21.845140167306955
WI_2,FOODS_1,168,-18.370180709413376,53.21885308094923,78.90227157781533
WI_2,FOODS_2,168,22.7488264989434,92.92896624100149,137.7764853489088
WI_2,FOODS_3,168,-14.49269494220357,131.23108380650547,194.563204851525
WI_2,HOBBIES_1,168,3.7437959882949627,27.857817006763696,41.30199949422785
WI_2,HOBBIES_2,168,-5.035826698847519,7.1431782645639466,10.590476095042506
WI_2,HOUSEHOLD_1,168,21.26622900931295,89.68038723788936,132.96014211889477
WI_2,HOUSEHOLD_2,168,1.3445780441335913,15.226545518600226,22.574876385876692
WI_3,FOODS_1,168,-12.280809838717076,31.015004139908868,45.98284513782888
WI_3,FOODS_2,168,16.12530927846919,42.51952212980271,63.039443509645494
WI_3,FOODS_3,168,-0.057346979574504076,112.10466650885621,166.20637856603022
WI_3,HOBBIES_1,168,0.8866500185241506,31.867621374367985,47.246935449637974
WI_3,HOBBIES_2,168,-1.180317913410649,8.055002205937786,11.94234627052336
WI_3,HOUSEHOLD_1,168,10.14740273920853,48.563542848588895,72.00030862731789
WI_3,HOUSEHOLD_2,168,4.417184438691265,16.103898250120537,23.875639545628708
